NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT04993404,Pharmacokinetics Of Jaktinib In Subjects With Hepatic Impairment And Normal Hepatic Function,RECRUITING,Hepatic Insufficiency|Healthy Subjects,DRUG: Jaktinib Hydrochloride Tablets,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",,INTERVENTIONAL,"August 27, 2021","August 27, 2021",August 2022
NCT03034304,A Phase I Clinical Study for Evaluating the Safety and Efficacy of MASCT-I in Patients With Advanced Solid Tumors,UNKNOWN,Advanced Solid Tumors,BIOLOGICAL: MASCT-I|DRUG: Ifosfamide|DRUG: PD1 antibody,SYZ Cell Therapy Co..,,INTERVENTIONAL,January 2017,January 2017,July 2022
NCT05184517,A Feasibility Study to Evaluate the Tolerability of Oph1 Compared to Restasis in Healthy Volunteers,NOT_YET_RECRUITING,Dry Eye Syndromes,DRUG: Oph1|DRUG: Restasis,OphRx Ltd.,,INTERVENTIONAL,March 2022,March 2022,July 2022
NCT02735239,Study of Anti-PD-L1 in Combination With Chemo(Radio)Therapy for Oesophageal Cancer,COMPLETED,Esophageal Cancer,DRUG: Durvalumab|DRUG: Tremelimumab|DRUG: Oxaliplatin|DRUG: Capecitabine|RADIATION: Radiotherapy|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: 5-fluorouracil (5-FU)|DRUG: Leucovorin|DRUG: docetaxel,Ludwig Institute for Cancer Research,AstraZeneca,INTERVENTIONAL,"June 24, 2016","June 24, 2016","June 16, 2022"
NCT05496179,The Effect of Prucalopride on Gastric Emptying in Intensive Care Unit Patients,COMPLETED,Enteral Feeding Intolerance,DRUG: Prucalopride|DRUG: Metoclopramide,Ain Shams University,Future University in Egypt,INTERVENTIONAL,"March 7, 2022","March 7, 2022","July 10, 2022"
NCT03875079,"A Study To Evaluate Safety And Therapeutic Activity Of RO6874281 In Combination With Pembrolizumab, In Participants With Advanced Or Metastatic Melanoma",COMPLETED,Metastatic Melanoma,DRUG: RO6874281|DRUG: Pembrolizumab,Hoffmann-La Roche,,INTERVENTIONAL,"June 24, 2019","June 24, 2019","July 14, 2022"
NCT05336279,Bioequivalence Study of Famitinib Malate in Healthy Volunteers Under Fasting Condition,ACTIVE_NOT_RECRUITING,Solid Tumor,DRUG: famitinib malate T(5 mg*4)、famitinib malate R(20 mg)|DRUG: famitinib malate T(5 mg*4)、famitinib malate R(20 mg),"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"May 18, 2022","May 18, 2022","June 30, 2022"
NCT04260191,Study of AMG 910 in Subjects With CLDN18.2-Positive Gastric and Gastroesophageal Junction Adenocarcinoma,COMPLETED,Gastric and Gastroesophageal Junction Adenocarcinoma,DRUG: AMG 910,Amgen,,INTERVENTIONAL,"June 29, 2020","June 29, 2020","June 2, 2022"
NCT03024008,Enhancement of Bone Regeneration and Healing in the Extremities by the Use of Autologous BonoFill-II,RECRUITING,Bone Fracture,BIOLOGICAL: BonoFill-II,BonusBio Group Ltd,,INTERVENTIONAL,"July 27, 2017","July 27, 2017",June 2022
NCT02644291,Phase I Study of Mebendazole Therapy for Recurrent/Progressive Pediatric Brain Tumors,COMPLETED,"Medulloblastoma|Astrocytoma, Grade III|Glioblastoma|Anaplastic Astrocytoma|Brain Stem Neoplasms, Malignant|Oligodendroblastoma|Anaplastic Oligodendroglioma|Malignant Glioma",DRUG: Mebendazole,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,INTERVENTIONAL,May 2016,May 2016,"June 9, 2022"
NCT04535804,Aspirin in the Treatment of Pregnant Women With Adenomyosis on Reducing Preterm Delivery,UNKNOWN,Adenomyosis of Uterus,DRUG: Aspirin/placebo,Shanghai First Maternity and Infant Hospital,,INTERVENTIONAL,October 2020,October 2020,September 2022
NCT05001204,68Ga-NOTA-RM26 PET/CT for the Detection of Gastrointestinal Stromal Tumor,RECRUITING,Gastrointestinal Stromal Tumors,DRUG: 68Ga-NOTA-RM26,Peking Union Medical College Hospital,,INTERVENTIONAL,"May 1, 2021","May 1, 2021","August 31, 2022"
NCT04950504,"Evaluate the Safety, Tolerability, Pharmacodynamics, and Efficacy of CNP-201 in Subjects Ages 16-35 With Peanut Allergy",TERMINATED,Peanut Allergy,DRUG: CNP-201|DRUG: Placebo,"COUR Pharmaceutical Development Company, Inc.",,INTERVENTIONAL,"June 2, 2021","June 2, 2021","June 24, 2022"
NCT02912104,A Therapeutic Trial of Human Amniotic Epithelial Cells Transplantation for Primary Ovarian Failure,RECRUITING,Primary Ovarian Insufficiency|Premature Ovarian Failure|Infertility,BIOLOGICAL: human amniotic epithelial cells (hAECs) transplantation,International Peace Maternity and Child Health Hospital,"Shanghai iCELL Biotechnology Co., Ltd, Shanghai, China",INTERVENTIONAL,"June 20, 2020","June 20, 2020",June 2022
NCT05206604,A First-in-human Study of Multiple Doses of Topically Administered PF-07295324 and PF-07259955,COMPLETED,Healthy,DRUG: PF-07295324|DRUG: PF-07259955,Pfizer,,INTERVENTIONAL,"February 9, 2022","February 9, 2022","August 12, 2022"
NCT05342727,Transcranial Direct and Alternating Stimulation of the Prefrontal Cortex for Cognitive Improvement in Schizophrenia,COMPLETED,Schizophrenia|Cognitive Dysfunction,DEVICE: transcranial direct current stimulation (tDCS)|DEVICE: transcranial alternating current stimulation (tACS),The National Brain Mapping Laboratory (NBML),Ardabil University of Medical Sciences|Leibniz-Institut für Arbeitsforschung,INTERVENTIONAL,"April 1, 2021","April 1, 2021","July 15, 2022"
NCT04781127,Home-administered tDCS for Treatment of Depression,RECRUITING,Unipolar Depression|Treatment Resistant Depression,DEVICE: Soterix Medical mini-CT tDCS stimulator,Soterix Medical,NYU Langone Health,INTERVENTIONAL,"February 10, 2021","February 10, 2021","August 10, 2022"
NCT05202379,CC-42344 Safety Study in Healthy Participants,RECRUITING,Influenza A,DRUG: CC-42344|DRUG: Placebo,"Cocrystal Pharma, Inc.",Cocrystal Pharma Australia Pty Ltd.|Linear Clinical Research,INTERVENTIONAL,"February 11, 2022","February 11, 2022",September 2022
NCT03802071,A Study of Durvalumab in Combination With Doxorubicin for Advanced Soft Tissue Sarcoma,ACTIVE_NOT_RECRUITING,Sarcoma,DRUG: Durvalumab+doxorubicin cobination,Yonsei University,,INTERVENTIONAL,"September 16, 2019","September 16, 2019","August 10, 2022"
NCT05371379,Multiple Ascending Dose Study of CM338 in Healthy Volunteers,NOT_YET_RECRUITING,Healthy Subjects,BIOLOGICAL: CM338 Injection,Keymed Biosciences Co.Ltd,,INTERVENTIONAL,"June 1, 2022","June 1, 2022","June 1, 2022"
NCT05194579,Pharmacokinetic Comparability Study in Healthy Participants - PF-06881894 On-Body Injector Relative to Prefilled Syringe,COMPLETED,Healthy Volunteers,COMBINATION_PRODUCT: PF-06881894 by on-body injector|COMBINATION_PRODUCT: PF-06881894 by prefilled syringe,Pfizer,,INTERVENTIONAL,"February 10, 2022","February 10, 2022","August 10, 2022"
NCT01562405,Sotatercept (ACE-011) With Lenalidomide or Pomalidomide and Dexamethasone in Relapsed/Refractory Multiple Myeloma,ACTIVE_NOT_RECRUITING,Multiple Myeloma,DRUG: ACE-011|DRUG: Lenalidomide|DRUG: Dexamethasone|DRUG: Pomalidomide,Massachusetts General Hospital,Multiple Myeloma Research Consortium,INTERVENTIONAL,May 2012,May 2012,June 2022
NCT05382104,Maribavir Food-Effect Study in Healthy Adults Participants,COMPLETED,Healthy Volunteers,DRUG: Maribavir,Takeda,"Takeda Development Center Americas, Inc.",INTERVENTIONAL,"June 1, 2022","June 1, 2022","July 1, 2022"
NCT02869217,Study of TBI-1301 (NY-ESO-1 Specific TCR Gene Transduced Autologous T Lymphocytes) in Patients With Solid Tumors,RECRUITING,NY-ESO-1 Expressing Solid Tumors in HLA-A2 Positive Patients|Synovial Sarcoma|Melanoma|Esophageal Cancer|Ovarian Cancer|Lung Cancer|Bladder Cancer|Liver Cancer,DRUG: Cyclophosphamide|BIOLOGICAL: TBI-1301|DRUG: Fludarabine,"University Health Network, Toronto",Takara Bio Inc.,INTERVENTIONAL,September 2016,September 2016,September 2022
NCT04132817,A Study of Multiple Immune and Disease Treatment Combinations in Participants With ER+HER2- Breast Cancer That Has Spread,ACTIVE_NOT_RECRUITING,Breast Cancer,BIOLOGICAL: Nivolumab|BIOLOGICAL: Ipilimumab|DRUG: Nab-paclitaxel,Bristol-Myers Squibb,,INTERVENTIONAL,"September 22, 2020","September 22, 2020","August 30, 2022"
NCT03948763,A Study of mRNA-5671/V941 as Monotherapy and in Combination With Pembrolizumab (V941-001),COMPLETED,"Neoplasms|Carcinoma, Non-Small-Cell Lung|Pancreatic Neoplasms|Colorectal Neoplasms",BIOLOGICAL: V941|BIOLOGICAL: Pembrolizumab,Merck Sharp & Dohme LLC,,INTERVENTIONAL,"June 26, 2019","June 26, 2019","August 25, 2022"
NCT02247349,BMS-986012 in Relapsed/Refractory SCLC,ACTIVE_NOT_RECRUITING,Small Cell Lung Cancer,BIOLOGICAL: BMS-986012 (anti-fucosyl-GM1)|BIOLOGICAL: Nivolumab,Bristol-Myers Squibb,,INTERVENTIONAL,"November 14, 2014","November 14, 2014","June 23, 2022"
NCT03593226,Study to Evaluate Safety & Tolerability of AGI-134 in Solid Tumour,ACTIVE_NOT_RECRUITING,"Superficial, Palpable, Unresectable/Metastatic Solid Tumour",DRUG: AGI-134,Agalimmune Ltd.,,INTERVENTIONAL,"November 15, 2018","November 15, 2018",September 2022
NCT04817605,Effects of Therapeutic Exercise in Patients With Fibromyalgia,RECRUITING,Therapeutic Exercise|Chronic Pain,OTHER: Therapeutic Exercise,Universidad de Zaragoza,,INTERVENTIONAL,"March 10, 2021","March 10, 2021","June 10, 2022"
NCT02914405,Phase I Study of 131-I mIBG Followed by Nivolumab & Dinutuximab Beta Antibodies in Children With Relapsed/Refractory Neuroblastoma,RECRUITING,Neuroblastoma,DRUG: Nivolumab|DRUG: Ch14.18/CHO,University Hospital Southampton NHS Foundation Trust,"University College London Hospitals|University of Wisconsin, Madison|University Hospital Greifswald|Solving Kids' Cancer US/EU|Joining Against Cancer in Kids|The Band of Parents",INTERVENTIONAL,"May 24, 2018","May 24, 2018",June 2022
NCT05150405,A Phase Ia Clinical Study of QLF31907 Injection in Patients With Advanced Malignant Tumors,RECRUITING,Advanced Malignant Neoplasm,DRUG: QLF31907,"Qilu Pharmaceutical Co., Ltd.",,INTERVENTIONAL,"September 6, 2021","September 6, 2021",July 2022
NCT04060849,"Nozin in Preventing Respiratory Viral Infections in Patients Undergoing Stem Cell Transplant, PREV-NOSE STUDY",SUSPENDED,Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Solid Neoplasm,DRUG: Nozin|OTHER: Best Practice,Fred Hutchinson Cancer Center,Global Life Technologies Corp.,INTERVENTIONAL,"September 3, 2019","September 3, 2019","August 1, 2022"
NCT03835949,Study of TJ004309 in Combination With Atezolizumab (Tecentriq®) in Patients With Advanced or Metastatic Cancer,ACTIVE_NOT_RECRUITING,Solid Tumor|Metastatic Cancer,DRUG: TJ004309|DRUG: Atezolizumab,Tracon Pharmaceuticals Inc.,,INTERVENTIONAL,"July 16, 2019","July 16, 2019",June 2022
NCT04585009,"Safety, Tolerability and Pharmacokinetics of GSK3923868 Inhalation Powder in Healthy Participants and Stable Asthmatics",RECRUITING,"Pulmonary Disease, Chronic Obstructive",DRUG: GSK3923868|DRUG: Matching placebo|DEVICE: Monodose RS01,GlaxoSmithKline,,INTERVENTIONAL,"March 18, 2021","March 18, 2021","June 15, 2022"
NCT04823208,A Study of LY3437943 in Japanese Participants With Type 2 Diabetes Mellitus (T2DM),COMPLETED,"Diabetes Mellitus, Type 2",DRUG: LY3437943|DRUG: Placebo,Eli Lilly and Company,,INTERVENTIONAL,"May 24, 2021","May 24, 2021","June 23, 2022"
NCT01995708,"CT7, MAGE-A3, and WT1 mRNA-electroporated Autologous Langerhans-type Dendritic Cells as Consolidation for Multiple Myeloma Patients Undergoing Autologous Stem Cell Transplantation",COMPLETED,Multiple Myeloma,"BIOLOGICAL: CT7, MAGE-A3, and WT1 mRNA-electroporated Langerhans cells ( LCs)|OTHER: Standard of care",Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL,"January 31, 2014","January 31, 2014","June 20, 2022"
NCT01687608,Open-Label Single Ascending Dose of Adeno-associated Virus Serotype 8 Factor IX Gene Therapy in Adults With Hemophilia B,ACTIVE_NOT_RECRUITING,Hemophilia B,BIOLOGICAL: AskBio009,Baxalta now part of Shire,,INTERVENTIONAL,"February 11, 2013","February 11, 2013","July 31, 2022"
NCT03251508,Salvage Peanut Oral Immunotherapy Study,ENROLLING_BY_INVITATION,Peanut Allergy,DRUG: Peanut OIT,"University of North Carolina, Chapel Hill",,INTERVENTIONAL,"January 3, 2018","January 3, 2018",September 2022
NCT05362695,A Study of Multiple-ascending Doses of IW-3300 in Healthy Subjects,COMPLETED,Healthy Volunteers,DRUG: IW-3300|DRUG: Placebo,"Ironwood Pharmaceuticals, Inc.",,INTERVENTIONAL,"May 17, 2022","May 17, 2022","July 13, 2022"
NCT05196295,To Evaluate the Safety of Treating Rheumatologic and Metabolic Patients With Molecular Hydrogen Supplement.,RECRUITING,Autoimmune Diseases|Metabolic Disease,DRUG: Hydrogen,HoHo Biotech,,INTERVENTIONAL,"January 11, 2022","January 11, 2022","July 30, 2022"
NCT03393013,A Study of KZR-616 in Patients With SLE With and Without Lupus Nephritis,ACTIVE_NOT_RECRUITING,Lupus Nephritis|Systemic Lupus Erythematosus,DRUG: KZR-616,"Kezar Life Sciences, Inc.",,INTERVENTIONAL,"March 7, 2018","March 7, 2018","August 31, 2022"
NCT05245396,Study Comparing Pharmacokinetics of Different Formulations of Evobrutinib in Healthy Participants,RECRUITING,Healthy,DRUG: Ref (TF2)|DRUG: Evobrutinib MR-T1|DRUG: Evobrutinib MR-T2|DRUG: Evobrutinib MR-T3|DRUG: Evobrutinib MR-T4|DRUG: Evobrutinib MUPS-C1|DRUG: Evobrutinib MUPS-C2|DRUG: Evobrutinib MUPS-C3|DRUG: Evobrutinib MUPS-C4,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Merck KGaA, Darmstadt, Germany",INTERVENTIONAL,"February 2, 2022","February 2, 2022","August 2, 2022"
NCT03802695,A Phase 1 Study of Engineered Donor Grafts (OrcaGraft/Orca-Q) in Recipients Undergoing Allogeneic Transplantation for Hematologic Malignancies,RECRUITING,Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Myelodysplastic Syndromes|Acute Leukemia,BIOLOGICAL: OrcaGraft (Orca-Q),"Orca Biosystems, Inc.",,INTERVENTIONAL,"April 8, 2019","April 8, 2019","July 1, 2022"
NCT05467696,Study of the Effect of Food on the Bioavailability of the To-Be-Marketed Formulation of CTP-543 in Healthy Volunteers,COMPLETED,Health Volunteers,DRUG: CTP-543,Concert Pharmaceuticals,,INTERVENTIONAL,"June 14, 2022","June 14, 2022","June 26, 2022"
NCT05344495,Efficacy of Median Nerve Hydrodissection by Hyalase Versus Midazolam in the Treatment of Carpal Tunnel Syndrome:,RECRUITING,"Pain, Neuropathic",DRUG: hyalase group|DRUG: midazolam group,Minia University,,INTERVENTIONAL,"January 10, 2022","January 10, 2022","July 20, 2022"
NCT03815396,"Phase 1 Study to Assess the Safety, PK and PD of INBRX-101 in Adults With Alpha-1 Antitrypsin Deficiency",COMPLETED,Alpha-1 Antitrypsin Deficiency|AATD,DRUG: INBRX-101/rhAAT-Fc,"Inhibrx, Inc.",,INTERVENTIONAL,"July 19, 2019","July 19, 2019","August 18, 2022"
NCT03767335,MEN1611 With Trastuzumab (+/- Fulvestrant) in Metastatic Breast Cancer,ACTIVE_NOT_RECRUITING,Advanced or Metastatic Breast Cancer,DRUG: MEN1611|DRUG: Trastuzumab|DRUG: Fulvestrant,Menarini Group,,INTERVENTIONAL,"July 19, 2018","July 19, 2018","July 31, 2022"
NCT04383496,Increasing Activity for Veterans With PTSD,COMPLETED,"Stress Disorders, Post-Traumatic",BEHAVIORAL: Physical Activity,VA Office of Research and Development,,INTERVENTIONAL,"March 2, 2021","March 2, 2021","June 28, 2022"
NCT04983680,Remote-delivered MBCT for SCAD Survivors,ACTIVE_NOT_RECRUITING,Acute Coronary Syndrome|Coronary Artery Disease|Anxiety|Sleep,BEHAVIORAL: MBCT,Massachusetts General Hospital,,INTERVENTIONAL,"November 4, 2021","November 4, 2021",July 2022
NCT04776980,Multimodality MRI and Liquid Biopsy in GBM,WITHDRAWN,"Glioblastoma Multiforme|Brain Tumor, Adult: Glioblastoma|Brain Tumor, Recurrent|Brain Tumor, Primary",DIAGNOSTIC_TEST: Post Feraheme Infusion MRI,Abramson Cancer Center of the University of Pennsylvania,,INTERVENTIONAL,June 2022,June 2022,June 2022
NCT05078580,"Pharmacokinetic (PK) and Safety Study of Iptacopan (LNP023) in Participants With Mild, Moderate, and Severe Hepatic Impairment Compared to Matched Control Healthy Participants With Normal Hepatic Function.",COMPLETED,Hepatic Impairment,DRUG: Iptacopan|DRUG: Iptacopan|DRUG: Iptacopan|DRUG: Iptacopan,Novartis Pharmaceuticals,,INTERVENTIONAL,"November 10, 2021","November 10, 2021","June 20, 2022"
NCT05274880,Study to Evaluate the Food Effect on Pharmacokinetics Profile and Safety of CKD-393,NOT_YET_RECRUITING,Type II Diabetes Mellitus,DRUG: CKD-393,Chong Kun Dang Pharmaceutical,,INTERVENTIONAL,"June 7, 2022","June 7, 2022","July 15, 2022"
NCT04736134,"A Study to Evaluate the Safety, Tolerability, Drug Levels, and Drug Effects of BMS-986326 in Healthy Participants",RECRUITING,Healthy Participants,BIOLOGICAL: BMS-986326|OTHER: Placebo matching BMS-986326,Bristol-Myers Squibb,,INTERVENTIONAL,"March 3, 2021","March 3, 2021","July 20, 2022"
NCT03209401,Niraparib Plus Carboplatin in Patients With Homologous Recombination Deficient Advanced Solid Tumor Malignancies,RECRUITING,"Solid Tumor, Adult|Homologous Recombination Deficiency",DRUG: Niraparib|DRUG: Carboplatin,Georgetown University,"Thomas Jefferson University|Tesaro, Inc.",INTERVENTIONAL,"October 13, 2017","October 13, 2017",August 2022
NCT05397834,A Bioequivalence Study Between Fluticasone Propionate 250 mcg/Blister Oral Inhalation Powder/Respirent Pharmaceuticals vs. FLOVENT DISKUS® 250 mcg/Blister Oral Inhalation Powder /GSK in Healthy Volunteers Under Fasting Conditions,ACTIVE_NOT_RECRUITING,Asthma|Bioequivalence,DRUG: Fluticasone Propionate 250 mcg/Blister Oral Inhalation Powder/Respirent Pharmaceuticals|DRUG: FLOVENT DISKUS,Respirent Pharmaceuticals Co Ltd.,Becro Ltd.,INTERVENTIONAL,"May 11, 2022","May 11, 2022","June 21, 2022"
NCT04155580,A Study of ASTX660 as a Single Agent and in Combination With ASTX727 in Subjects With Relapsed/Refractory Acute Myeloid Leukemia (AML),TERMINATED,Acute Myeloid Leukemia,DRUG: ASTX660|DRUG: ASTX727,"Astex Pharmaceuticals, Inc.",,INTERVENTIONAL,"June 12, 2020","June 12, 2020","August 29, 2022"
NCT05164536,Plasma P-tau2017 and Quantitative Amyloid PET Imaging,RECRUITING,Alzheimer Disease,DRUG: Amyvid,Invicro,,INTERVENTIONAL,"August 27, 2021","August 27, 2021","September 1, 2022"
NCT05064436,"A Study to Evaluate the Safety, Tolerability, Kinetics, Biodistribution and Repeatability of 11C-BMS-986196 After Intravenous (IV) Administration in Healthy Participants and After Repeat IV Administration in Participants With Multiple Sclerosis",RECRUITING,Multiple Sclerosis (MS),DRUG: 11C-BMS-986196,Bristol-Myers Squibb,,INTERVENTIONAL,"December 10, 2021","December 10, 2021","July 20, 2022"
NCT05293236,ApTOLL for the Treatment of COVID-19,RECRUITING,COVID-19,DRUG: ApTOLL|OTHER: Saline,Macarena Hernández Jiménez,Centro para el Desarrollo Tecnológico Industrial,INTERVENTIONAL,"January 14, 2022","January 14, 2022",June 2022
NCT04986436,"Phase I Study to Evaluate Safety, Tolerability, and Pharmacokinetics of HS-10360 in Healthy Subjects.",NOT_YET_RECRUITING,Healthy,DRUG: HS-10360|DRUG: Placebo,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",,INTERVENTIONAL,July 2021,July 2021,June 2022
NCT04557436,TT52CAR19 Therapy for B-cell Acute Lymphoblastic Leukaemia (B-ALL),RECRUITING,B Acute Lymphoblastic Leukemia,DRUG: PBLTT52CAR19,Great Ormond Street Hospital for Children NHS Foundation Trust,"University College, London",INTERVENTIONAL,"August 12, 2020","August 12, 2020","June 30, 2022"
NCT04180436,Pharmacokinetics of Rivaroxaban After Bariatric Surgery,COMPLETED,Bariatric Surgery|Morbid Obesity,DRUG: rivaroxaban 20 mg once daily 8 days,"University Hospital, Brest",Bayer,INTERVENTIONAL,"January 15, 2020","January 15, 2020","June 21, 2022"
NCT05330936,Comparison of Cyanocobalamin in Avocado Oil Cream With Steroid Combination Ointment,RECRUITING,Plaque Psoriasis,COMBINATION_PRODUCT: Potent topical steroid,Pak Emirates Military Hospital,,INTERVENTIONAL,"March 15, 2022","March 15, 2022","August 15, 2022"
NCT05408234,Modified Foot Exercise to Improve Sensitivity and Perfussion on Type 2 Diabetes Patients,RECRUITING,"Diabetes Mellitus, Type 2",OTHER: Smart Foot Exercise,Universitas Sebelas Maret,,INTERVENTIONAL,June 2022,June 2022,August 2022
NCT04610736,"TEMOkids Study : A Phase I Pediatric Study for KIMOZO, Oral Suspension of Temozolomide",RECRUITING,Pediatric Cancer,DRUG: Temozolomide Oral Suspension,Orphelia Pharma,ClinSearch,INTERVENTIONAL,"March 16, 2021","March 16, 2021",August 2022
NCT03151057,Idelalisib Post Allogeneic Hematopoietic Stem Cell Transplant (HSCT) in B Cell Derived Malignancies,ACTIVE_NOT_RECRUITING,B Cells-Tumors|B Cell Chronic Lymphocytic Leukemia|Follicular Lymphoma|Mantle Cell Lymphoma|Large B-Cell Diffuse Lymphoma of Bone (Diagnosis),DRUG: Idelalisib 100 MG|DRUG: Placebo Oral Tablet,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Gilead Sciences,INTERVENTIONAL,"July 31, 2018","July 31, 2018",September 2022
NCT03091257,A Study of Dabrafenib and/or Trametinib in Patients With Relapsed and/or Refractory Multiple Myeloma,RECRUITING,Multiple Myeloma,DRUG: Dabrafenib|DRUG: Trametinib,Massachusetts General Hospital,Novartis|Multiple Myeloma Research Consortium|Barbara Ann Karmanos Cancer Institute,INTERVENTIONAL,"June 21, 2017","June 21, 2017",September 2022
NCT02422524,Pretomanid in Adults With Hepatic Impairment,RECRUITING,Tuberculosis,DRUG: PA-824,National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,"December 11, 2017","December 11, 2017","August 31, 2022"
NCT05419401,"A Study to Investigate the Absolute Bioavailability, Absorption, Metabolism, Distribution and Excretion of [14C]AZD5363 (Capivasertib)",COMPLETED,Healthy Volunteer,"DRUG: Capivasertib film-coated tablet, 200 mg|DRUG: [14C]AZD5363 (Capivasertib)",AstraZeneca,Quotient Sciences,INTERVENTIONAL,"April 11, 2022","April 11, 2022","July 12, 2022"
NCT03589898,Study of Neuroimaging Biomarkers of Social Cognition Deficits in Adolescents (Age 13-17) With Autism Spectrum Disorder and Effects of Gabapentin,RECRUITING,Autism Spectrum Disorder,DRUG: Gabapentin,"University of Massachusetts, Worcester",National Institute of Mental Health (NIMH)|Johns Hopkins University,INTERVENTIONAL,"September 14, 2017","September 14, 2017","August 31, 2022"
NCT05001698,Anifrolumab PK Study for Systemic Lupus Erythematosus (SLE),COMPLETED,Systemic Lupus Erythematosus,BIOLOGICAL: Anifrolumab,AstraZeneca,,INTERVENTIONAL,"July 27, 2021","July 27, 2021","June 2, 2022"
NCT04277598,A Study to Evaluate Safety and Efficacy of APO-2 at Three Different Doses in Patients With Diabetic Foot Ulcer,RECRUITING,Diabetic Foot Ulcer (DFU),BIOLOGICAL: APO-2|OTHER: Placebo,Aposcience AG,FGK Clinical Research GmbH,INTERVENTIONAL,"October 9, 2020","October 9, 2020",September 2022
NCT04785144,Safety and Immunogenicity Study of a SARS-CoV-2 (COVID-19) Variant Vaccine (mRNA-1273.351) in Naïve and Previously Vaccinated Adults,ACTIVE_NOT_RECRUITING,COVID-19|COVID-19 Immunisation,BIOLOGICAL: mRNA-1273|BIOLOGICAL: mRNA-1273.351,National Institute of Allergy and Infectious Diseases (NIAID),"ModernaTX, Inc.",INTERVENTIONAL,"March 29, 2021","March 29, 2021","August 31, 2022"
NCT05347498,A Trial of HR091506 Tablets in Treatment of Primary Gout With Hyperuricemia in Adults,NOT_YET_RECRUITING,Primary Gout With Hyperuricemia in Adults,DRUG: HR091506 tablets + placebo of febuxostat tablets|DRUG: febuxostat tablets + placebo of HR091506 tablets,"Jiangsu HengRui Medicine Co., Ltd.",,INTERVENTIONAL,"April 30, 2022","April 30, 2022","July 31, 2022"
NCT04112498,"A Phase 1, Bioavailability Study of Relatlimab in Combination With Nivolumab",ACTIVE_NOT_RECRUITING,Cancer,DRUG: relatlimab|DRUG: nivolumab|DRUG: rHuPH20,Bristol-Myers Squibb,,INTERVENTIONAL,"October 1, 2019","October 1, 2019","August 17, 2022"
NCT05142098,Comparison of the Anti-Inflammatory Efficacy of Preemptive Dexamethasone and Etoricoxib,NOT_YET_RECRUITING,Effect of Drug,DRUG: Dexamethasone|DRUG: Etoricoxib 60 mg,Dow University of Health Sciences,,INTERVENTIONAL,"January 1, 2022","January 1, 2022","July 1, 2022"
NCT05096598,A First-in-human Study Looking at the Safety of ZP8396 and How it Works in the Body of Healthy Trial Participants,RECRUITING,Overweight|Healthy Volunteers,DRUG: ZP8396|DRUG: Placebo (ZP8396),Zealand Pharma,,INTERVENTIONAL,"October 19, 2021","October 19, 2021",September 2022
NCT04562298,"A Phase I Clinical Study to Evaluate the Safety, Tolerability, and Efficacy of LCAR-M23, a CAR-T Cell Therapy Targeting MSLN in Patients With Relapsed and Refractory Epithelial Ovarian Cancer",TERMINATED,Epithelial Ovarian Cancer,BIOLOGICAL: LCAR-M23 cells,Shanghai East Hospital,Nanjing Legend Biotech Co.|East Clinical Center of Oncology|Anhui Provincial Hospital,INTERVENTIONAL,"October 21, 2020","October 21, 2020","June 7, 2022"
NCT04810598,Study to Assess Adverse Events and the Movement of Oral Venetoclax Tablet Through the Body of Female Participants Aged 18-75 Years With Impaired Renal Function,COMPLETED,Renal Impairment|Renal Disease,DRUG: Venetoclax,AbbVie,Roche-Genentech,INTERVENTIONAL,"July 8, 2021","July 8, 2021","August 16, 2022"
NCT02817698,Imaging the Neurochemistry of Drug Addiction With PET,RECRUITING,Smoking|Cannabis,DRUG: cannabis,Yale University,National Institute on Drug Abuse (NIDA),INTERVENTIONAL,"November 29, 2017","November 29, 2017",September 2022
NCT04959344,Safety and Immunogenicity of a Klebsiella Pneumoniae Tetravalent Bioconjugate Vaccine (Kleb4V),ACTIVE_NOT_RECRUITING,Klebsiella Pneumoniae Infection,BIOLOGICAL: Kleb4V target dose|BIOLOGICAL: Kleb4V target dose + AS03|BIOLOGICAL: Kleb4V low dose|BIOLOGICAL: Kleb4V low dose + AS03|BIOLOGICAL: Placebo,LimmaTech Biologics AG,GlaxoSmithKline,INTERVENTIONAL,"July 5, 2021","July 5, 2021",September 2022
NCT02460484,Safety of Autologous Human Umbilical Cord Blood Treatment for Perinatal Arterial Ischemic Stroke,SUSPENDED,Perinatal Arterial Ischemic Stroke,BIOLOGICAL: Autologous Cord Blood Infusion,"James Baumgartner, MD","Cord Blood Registry, Inc.",INTERVENTIONAL,April 2015,April 2015,June 2022
